QuestionID,Question
1,Can you tell me about yourself?
2,Why do you want to work at our company?
3,What are your greatest strengths and weaknesses?
4,Where do you see yourself in five years?
5,Why should we hire you over other candidates?
6,Can you describe a challenging situation you faced and how you resolved it?
7,What motivates you to perform well at work?
8,How do you handle criticism or feedback from your manager?
9,Can you share an example of how you worked effectively in a team?
10,What is your approach to time management and meeting deadlines?
11,How do you manage stress in the workplace?
12,What do you know about our company's values and culture?
13,Can you give an example of a conflict you resolved at work?
14,How do you prioritize your tasks when everything seems urgent?
15,What are your salary expectations?
16,Are you comfortable working in a fast-paced environment?
17,How do you ensure continuous learning and skill development?
18,What is your preferred work style: independently or collaboratively?
19,Do you have any questions for us about the role or company?
20,What makes you the ideal candidate for this position?
