Level,question,answer
Easy,What is an array?,An array is a collection of items stored at contiguous memory locations.
Easy,Explain the difference between a stack and a queue.,A stack follows LIFO (Last In First Out) order whereas a queue follows FIFO (First In First Out) order.
Easy,What is a linked list?,A linked list is a linear data structure where each element is a separate object with each element (node) consisting of a data part and a reference (link) to the next node.
Easy,What is the time complexity of binary search?,The time complexity of binary search is O(log n).
Easy,How does a hash table work?,A hash table uses a hash function to convert an input (or 'key') into a numerical index where the data is stored.
Easy,What is a binary tree?,A binary tree is a tree data structure in which each node has at most two children referred to as the left child and the right child.
Easy,What is recursion?,Recursion is a method of solving problems where a function calls itself as a subroutine.
Easy,Explain what a graph is.,A graph is a collection of nodes (vertices) and edges that connect pairs of nodes.
Easy,What is a depth-first search?,Depth-first search (DFS) is an algorithm for traversing or searching tree or graph data structures by exploring as far as possible along each branch before backtracking.
Easy,What is a breadth-first search?,Breadth-first search (BFS) is an algorithm for traversing or searching tree or graph data structures by exploring the neighbor nodes at the present depth prior to moving on to nodes at the next depth level.
Easy,What is a stack overflow?,A stack overflow occurs when there is no more space in memory to hold the active stack frames typically due to too much recursion.
Easy,What is dynamic programming?,Dynamic programming is a method for solving complex problems by breaking them down into simpler subproblems and solving each subproblem only once storing its solution.
Easy,What is a sorting algorithm?,A sorting algorithm is a method for reordering elements in a list or array according to a specific order such as ascending or descending.
Easy,Explain the quicksort algorithm.,Quicksort is a divide-and-conquer algorithm that works by selecting a 'pivot' element from the array and partitioning the other elements into two sub-arrays according to whether they are less than or greater than the pivot.
Easy,What is the purpose of a priority queue?,A priority queue is an abstract data type in which each element is associated with a priority and elements are served based on their priority.
Easy,What is a binary search tree?,A binary search tree (BST) is a binary tree where each node has a key and every node's key is greater than all keys in its left subtree and less than all keys in its right subtree.
Easy,What is the difference between an array and a linked list?,An array is a collection of elements stored in contiguous memory locations whereas a linked list is a collection of nodes where each node contains a data part and a reference to the next node.
Easy,Explain what a heap is.,A heap is a special tree-based data structure that satisfies the heap property where in a max heap for any given node the key of the node is greater than or equal to the keys of its children and in a min heap the key of the node is less than or equal to the keys of its children.
Easy,What is a hash function?,A hash function is a function that takes an input and returns a fixed-size string or number which typically serves as an index into an array of buckets or slots in a hash table.
Easy,Explain the concept of Big O notation.,Big O notation is used to classify algorithms according to how their run time or space requirements grow as the input size grows.
Easy,What is a queue?,A queue is a linear data structure that follows a particular order in which operations are performed specifically FIFO (First In First Out).
Easy,What is a circular queue?,A circular queue is a linear data structure that follows the FIFO principle where the last position is connected back to the first position to make a circle.
Easy,How does a bubble sort algorithm work?,Bubble sort is a simple sorting algorithm that repeatedly steps through the list compares adjacent elements and swaps them if they are in the wrong order.
Easy,Explain merge sort.,Merge sort is a divide-and-conquer algorithm that divides the unsorted list into n sublists each containing one element then repeatedly merges sublists to produce new sorted sublists until there is only one sorted list.
Easy,What is a graph adjacency matrix?,An adjacency matrix is a 2D array of size VxV where V is the number of vertices in a graph and the element at row i and column j is 1 if there is an edge from vertex i to vertex j.
Easy,What is a graph adjacency list?,An adjacency list is a collection of unordered lists used to represent a finite graph with each list corresponding to the nodes and containing a list of its adjacent nodes.
Easy,What is the time complexity of insertion sort?,The time complexity of insertion sort is O(n^2).
Easy,Explain what a trie is.,A trie also known as a prefix tree is a type of search tree used to store a dynamic set or associative array where the keys are usually strings.
Easy,What is a balanced binary tree?,A balanced binary tree is a binary tree in which the height of the left and right subtrees of every node differ by at most one.
Easy,What is the difference between BFS and DFS?,BFS (Breadth-First Search) explores all nodes at the present depth level before moving on to nodes at the next depth level while DFS (Depth-First Search) explores as far as possible along each branch before backtracking.
Easy,What is a hash collision?,A hash collision occurs when two different inputs produce the same hash value.
Easy,Explain the knapsack problem.,The knapsack problem is a problem in combinatorial optimization where you have to maximize the total value of items in a knapsack without exceeding its capacity.
Easy,What is a directed graph?,A directed graph or digraph is a graph where the edges have a direction indicating a one-way relationship between the vertices.
Easy,What is an undirected graph?,An undirected graph is a graph where the edges have no direction meaning the relationship between the vertices is bidirectional.
Easy,What is backtracking?,Backtracking is an algorithmic technique for solving problems recursively by trying to build a solution incrementally removing those solutions that fail to satisfy the constraints of the problem at any point in time.
Easy,Explain the selection sort algorithm.,Selection sort is a simple comparison-based sorting algorithm that repeatedly selects the smallest (or largest depending on sorting order) element from the unsorted portion of the list and moves it to the sorted portion.
Easy,What is memoization?,Memoization is an optimization technique where the results of expensive function calls are cached so the same results can be retrieved without re-computation.
Easy,What is a minimum spanning tree?,A minimum spanning tree (MST) is a spanning tree of a graph with the minimum possible total edge weight.
Easy,Explain what a queue is used for.,A queue is often used in scenarios where we need to process things in the order they arrive such as CPU scheduling breadth-first search and printer job scheduling.
Easy,What is a double-ended queue (deque)?,A deque is a type of queue where elements can be inserted or removed from both the front and the rear ends.
Easy,Explain the concept of dynamic arrays.,Dynamic arrays are arrays that can grow in size during program execution reallocating memory to accommodate additional elements.
Easy,What is the time complexity of a hash table?,The average time complexity for insertion deletion and search operations in a hash table is O(1).
Easy,Explain the Floyd-Warshall algorithm.,The Floyd-Warshall algorithm is a dynamic programming algorithm used to find the shortest paths between all pairs of vertices in a weighted graph.
Easy,What is a circular linked list?,A circular linked list is a linked list where the last node points back to the first node forming a circle.
Easy,How does an AVL tree work?,An AVL tree is a self-balancing binary search tree where the difference in heights of the left and right subtrees cannot be more than one for all nodes.
Easy,Explain what a heap sort algorithm is.,Heap sort is a comparison-based sorting algorithm that builds a heap from the input data then repeatedly extracts the maximum (or minimum) element from the heap and reconstructs the heap.
Easy,What is tail recursion?,Tail recursion occurs when the recursive call is the last thing executed by the function allowing some compilers or interpreters to optimize and avoid adding a new stack frame for the recursive call.
Easy,Explain the Kruskal’s algorithm.,Kruskal's algorithm is a greedy algorithm used to find the minimum spanning tree for a connected weighted graph by adding edges in order of their weight ensuring no cycles are formed.
Easy,What is a binary heap?,A binary heap is a complete binary tree where the parent nodes are greater than (in a max heap) or less than (in a min heap) their children.
Easy,How does a radix sort work?,Radix sort is a non-comparative integer sorting algorithm that sorts data with integer keys by grouping keys by individual digits that share the same significant position and value.
Easy,Explain the Bellman-Ford algorithm.,The Bellman-Ford algorithm is a dynamic programming algorithm that computes shortest paths from a single source vertex to all other vertices in a weighted digraph.
Easy,What is the difference between greedy algorithms and dynamic programming?,Greedy algorithms make the locally optimal choice at each step while dynamic programming considers the global optimal solution by solving subproblems and combining their solutions.
Easy,What is the time complexity of a linked list?,The time complexity for insertion and deletion in a linked list is O(1) but searching for an element takes O(n).
Easy,Explain the topological sort.,Topological sort is a linear ordering of vertices in a directed acyclic graph (DAG) where for every directed edge UV vertex U comes before vertex V in the ordering.
Easy,What is an adjacency matrix?,An adjacency matrix is a 2D array used to represent a graph where each cell (i j) in the matrix has a value of 1 if there is an edge between vertices i and j and 0 otherwise.
Easy,What is a breadth-first traversal?,Breadth-first traversal is a graph traversal method that explores all neighbors at the present depth level before moving on to nodes at the next depth level.
Easy,What is a depth-first traversal?,Depth-first traversal is a graph traversal method that explores as far as possible along each branch before backtracking.
Easy,Explain what a red-black tree is.,A red-black tree is a self-balancing binary search tree where each node contains an extra bit for denoting the color of the node (either red or black) ensuring the tree remains balanced.
Easy,What is an inorder traversal?,Inorder traversal is a depth-first traversal method where the nodes are recursively visited in the order of left subtree root right subtree.
Easy,What is a preorder traversal?,Preorder traversal is a depth-first traversal method where the nodes are recursively visited in the order of root left subtree right subtree.
Easy,What is a postorder traversal?,Postorder traversal is a depth-first traversal method where the nodes are recursively visited in the order of left subtree right subtree root.
Easy,Explain what a sparse matrix is.,A sparse matrix is a matrix in which most of the elements are zero making it memory efficient to store only non-zero elements.
Easy,What is a circular array?,A circular array is an array in which the end of the array wraps around to the start of the array creating a circular buffer.
Easy,What is a priority queue used for?,A priority queue is used in scenarios where elements are processed based on their priority rather than the order of their arrival such as in scheduling algorithms.
Easy,Explain the insertion sort algorithm.,Insertion sort is a simple sorting algorithm that builds the final sorted array one item at a time by repeatedly picking the next item and inserting it into its correct position.
Easy,What is a greedy algorithm?,A greedy algorithm is an algorithm that makes the locally optimal choice at each stage with the hope of finding a global optimum.
Easy,What is the time complexity of quicksort?,The average-case time complexity of quicksort is O(n log n) but the worst-case time complexity is O(n^2).
Easy,Explain the Dijkstra's algorithm.,Dijkstra's algorithm is a graph search algorithm that solves the single-source shortest path problem for a graph with non-negative edge weights producing a shortest path tree.
Easy,What is a spanning tree?,A spanning tree of a graph is a subgraph that includes all the vertices of the graph and is a single tree.
Easy,Explain the concept of a max heap.,A max heap is a complete binary tree where the value of each node is greater than or equal to the values of its children with the largest element at the root.
Easy,What is a min heap?,A min heap is a complete binary tree where the value of each node is less than or equal to the values of its children with the smallest element at the root.
Easy,What is a linked list node?,A linked list node is an element of a linked list typically containing a data part and a reference to the next node in the list.
Easy,Explain what a perfect binary tree is.,A perfect binary tree is a binary tree in which all the internal nodes have two children and all the leaves are at the same level.
Easy,What is a circular queue used for?,A circular queue is used in scenarios where the queue needs to be reused without needing to move elements such as in buffering and scheduling.
Easy,Explain the concept of hash chaining.,Hash chaining is a technique used to handle collisions in a hash table by creating a linked list of entries that share the same hash index.
Easy,What is a graph traversal?,Graph traversal is the process of visiting all the nodes or vertices in a graph in a systematic way.
Easy,What is an AVL tree?,An AVL tree is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most one.
Easy,Explain what a binary search is.,Binary search is an efficient algorithm for finding an item from a sorted list of items by repeatedly dividing the search interval in half.
Easy,What is the space complexity of a linked list?,The space complexity of a linked list is O(n) where n is the number of elements in the list.
Easy,Explain what a doubly linked list is.,A doubly linked list is a type of linked list where each node contains a data part and two references one to the next node and one to the previous node.
