Question,Answer
Tell me about yourself?,"""Good morning/afternoon/evening"" sir/mam.First of all, thank you for giving me this opportunity to introduce myself.My name is Ajeet Kumar.As far as my education qualification is concerned, I have done MBA with finance stream from Srivenkateswara university in Emerald's P. G. College, Tirupathi, in the year of 2014.I had completed B.tech from N.I.T Jaipur in 2012.I had completed my schooling from G.I.C. Allahabad.As far as concerned my family, I belong to a middle-class family. My father is a Businessman, and my Mother is a homemaker. My brother is preparing for civil services.I am good in programming languages C, C++, and Java and very much interested in HTML, CSS, ASP. Net and SQL.My strength is self-confidence, positive attitude, hard work.My weakness is: I can easily believe every one.My hobbies are:
Watching news channels,
Playing volleyball,
Listening to music. | ""Good morning/afternoon/evening"" sir/mam, it's my pleasure to introduce myself. I am Anshika Bansal. I belong to Meerut. I have done my B.Tech in CSE from Lovely Professional University.While coming to my family members, there are 4 members including me. My father is a doctor, and any mother is a teacher. My younger sister will appear her 12th CBSE board exam this year.Now coming to me, I am sweet smart, confident, and hardworking person. I am a cool hearted person, so usually see every difficulty with a positive side and keep myself always smiling which makes me stronger even more.I can carry out any task assigned to me without hesitation.My hobbies are dancing, Internet surfing, playing Chess, listening to music, watching the news channel. In my spare time, I like to read news on my phone and traveling to my hometown.Thank you for giving this opportunity to introduce myself. | ""Good morning/afternoon/evening"" sir/mam, it's my pleasure to introduce myself. I am Anshika Bansal. I belong to Meerut. I have done my B.Tech in CSE from Lovely Professional University.I am carrying 5 years of experience at top Wall Street Companies. In my recent company, I led the development of an award-winning new trading platform. I can survive in a fast-paced environment.Now I am looking for a chance to apply my technical expertize and my creative problem-solving skills at an innovative software company like yours."
Why this role attract you?,"I have applied for this vacancy because it is an excellent match for my skills and experience. This role is exactly the sort of role I am currently targeting, and I am confident I will be able to make a major contribution. | Sir, it's a great privilege to work in a reputed company like yours. When I read about your requirement, I found that my skills are matching with them. Through this role, I can show my technical skills to contribute to the company growth."
Would you like to work overtime or odd hours?,"I know that in the company being asked to work for an extended number of hours comes with a good reason, so I am ok with it. It an extra effort means I am doing something for the company, I'll be happy to do it."
What is more important to you: the money or the work?,"""Money is always important, but the work is most important for me."" | ""I would say that work is more important. If we work and achieve Company goals then obviously money would follow. I believe work to be prior."" | ""Work is more important for me. Working just for money may not be fulfilled if I don't feel satisfied with my job. My work makes me stay productive, and money would naturally come along well."" | ""I think money probably matters to me about as much as it does to anyone. It's vital and necessary for us to live and prosper but, at the same time, it's not my single most important driving force. I believe that money is rewarded for work."""
What do you know about this organization?,"We all know that it is one of the fastest growing infrastructure company in India. The facilities provided to the employee is best. People feel proud to be the part of your company as the company provides full support to their employees in professional front. The working environment of this company is decent. It has crossed the branches in the world also. And I was in search of this type of company. | We all know that this company is India's no.1 company for development. I was delighted to see on your company website that your employees are talking about how great it is to work for your company. Now these days, so many people seem to hate the company where they work for one reason or another. It's great to see that your employees are proud to talk about how much they love their company and jobs."
Why did you leave your last job?,"Sir, it's a career move. I have learned a lot from my last job, but now I am looking for new challenges to broaden my horizons and to gain a new skill-set."
Why should we hire you?,"""I believe that everyone starts with a beginning, I need a platform to prove my abilities and skills. I think your company is the right place to explore my abilities. I need to be a part of your growth. I will do my level best."" | ""As a fresher, I need a platform to prove my ability. If I will be a part of your company, I'll put my effort and strength to uplift your company. None is born with experience, and if you hire me, I will get professional experience through your company."" | ""Sir, as I am a fresher, I have theoretical knowledge, but I need a platform where I can implement my knowledge in the practical field. I am ensuring you that I will put all my efforts for the good progress of the organization. As a fresher, I have no preset mind regarding work culture in an organization, and this will help me to adapt the working culture of your company very easily. Being punctual and regular, I can finish the work giving to me on time and try my best to fulfill all the needs of the company."" | ""I have a good experience in that particular field (field of your specialization), and I think my talents will be a big contribution to the continuing pursuit of excellence of your company."""
What are your salary expectations?,"I am more interested in the role than the pay, and I expect to be paid appropriate money for this role based on my experience. As you also know that the high cost of living here in Delhi. | As I am fresher, Salary is not an issue for me. Learning and gaining experience is my major priority. As your company is one of the most reputed company, I just accept the salary offered by you is the best in the industry. | As of now, I haven't thought much about it. I am more focused on learning the requirements for this position that I am applying for."
"Assume you are hired, then how long would you expect to work for us?","""I will do my best for the growth of your company as long as I have the career growth, job satisfaction, respect and a healthy environment, then I don't need to change my company."" | ""I will work with the company as long as my presence benefits the company and I get ample opportunity to grow and develop both professionally and monetarily."" | ""Everyone looks for a bright future, healthy work environment, good salary, job satisfaction and I am pretty sure that your company gives such things, so I don't need to change the company."" | ""I will work with the company as long as my presence benefits both the company and mine in parallel. So your company gains good results, and I can be in a good position to improve my skills."""
How would you rate yourself on a scale of 1 to 10?,"I will rate myself 8 out of 10 because I would never like to think that there should be a room left for putting in more efforts. That thought will create an interest in learning the things. Thank you very much for giving me this wonderful opportunity. | I will answer this question based on some parameters. As far as hard work is concerned, I will rate myself as 8 because there should always be a scope to increase our skills which will create an interest in learning the things. When it comes to creativity, I would like to rate myself as 9. In the past, I have designed banners and brochures which were appreciated by the clients. To talk about patience, I will tag myself with 6 because I am an entry-level professional. Same as personal life, even professional life needs more experience for more patience. That is probably why in most companies, senior management looks more patient than entry level or even middle level. Overall, I would rate myself as 8 on a scale of 1 to 10."
